Name,Twitter Ticker,Country,Industry,Google Ticker,Google Peers,Twitter Peers
ELECTROSTEEL STEELS,ELES.NS,India,Basic Materials,NSE:ESL,NSE:JAICORPLTD TPE:2014 NYSE:NUE ASX:FMG BIT:TEN ,JAIC.NS 2014.TW $NUE FMG.AX TENR.MI 
GINDALBIE METALS,GBG.AX,Australia,Basic Materials,ASX:GBG,ASX:NFE NYSE:AKS AMS:APAM ASX:MGX ,NFE.AX $AKS APAM.AS MGX.AX 
MAHARASHTRA SEAMLESS,MHSM.NS,India,Basic Materials,NSE:MAHSEAMLES,BIT:TEN AMS:MT HKG:0656 NSE:JSWISPAT NSE:JINDALSAW ,TENR.MI ISPA.AS 0656.HK JSWI.NS JIND.NS 
SALZGITTER,SZGG.DE,Germany,Basic Materials,ETR:SZG,ASX:OST LON:FXPO TSE:RUS ASX:SGM TPE:2030 ,OST.AX FXPO.L RUS.TO SGM.AX 2030.TW 
CHINA STEEL,2002.TW,Taiwan,Basic Materials,TPE:2002,NSE:SESAGOA NSE:SAIL NSE:TATASTEEL ,SESA.NS SAIL.NS TISC.NS 
LABRADOR IRON ORE ROYALTY,LIF_u.TO,Canada,Basic Materials,TSE:LIF.UN,TSE:RUS ETR:SZG ASX:SGM TPE:2030 NASDAQ:STLD ,RUS.TO SZGG.DE SGM.AX 2030.TW $STLD 
BHUSHAN STEEL,BSSL.NS,India,Basic Materials,NSE:BHUSANSTL,NSE:JSWISPAT NSE:JINDALSAW NSE:JSWSTEEL NSE:SESAGOA NSE:SAIL ,JSWI.NS JIND.NS JSTL.NS SESA.NS SAIL.NS 
ONESTEEL,OST.AX,Australia,Basic Materials,ASX:OST,ASX:MGX ASX:BSL LON:FXPO TSE:RUS ETR:SZG ,MGX.AX BSL.AX FXPO.L RUS.TO SZGG.DE 
CARPENTER TECHNOLOGY,$CRS,United States,Basic Materials,NYSE:CRS,ETR:SZG ASX:SGM TPE:2030 NASDAQ:STLD NYSE:X ,SZGG.DE SGM.AX 2030.TW $STLD $X 
GODO STEEL,5410.T,Japan,Basic Materials,TYO:5410,ASX:NFE ASX:GBG NYSE:AKS ,NFE.AX GBG.AX $AKS 
ANGANG STEEL COMPANY,0347.HK,Hong Kong,Basic Materials,HKG:0347,AMS:MT HKG:0656 NSE:JSWISPAT NSE:JINDALSAW NSE:BHUSANSTL ,ISPA.AS 0656.HK JSWI.NS JIND.NS BSSL.NS 
CHUN YUAN STEEL,2010.TW,Taiwan,Basic Materials,TPE:2010,TPE:2031 HKG:0581 NYSE:CLF NSE:USHAMART NSE:JAICORPLTD TPE:2030 ,2031.TW 0581.HK $CLF USBL.NS JAIC.NS 2030.TW 
CHUNG HUNG STEEL,2014.TW,Taiwan,Basic Materials,TPE:2014,TPE:2010 NSE:USHAMART NSE:JAICORPLTD NYSE:NUE ASX:FMG TPE:2030 ,2010.TW USBL.NS JAIC.NS $NUE FMG.AX 2030.TW 
FORTESCUE METALS ,FMG.AX,Australia,Basic Materials,ASX:FMG,TPE:2014 NYSE:NUE BIT:TEN AMS:MT HKG:0656 ASX:NFE ASX:GBG ,2014.TW $NUE TENR.MI ISPA.AS 0656.HK NFE.AX GBG.AX 
TOKYO STEEL MANUFACTURING,5423.T,Japan,Basic Materials,TYO:5423,ASX:NFE ASX:GBG NYSE:AKS ,NFE.AX GBG.AX $AKS 
NIPPON DENKO,5563.T,Japan,Basic Materials,TYO:5563,ASX:NFE ASX:GBG NYSE:AKS ,NFE.AX GBG.AX $AKS 
BLUESCOPE STEEL,BSL.AX,Australia,Basic Materials,ASX:BSL,NYSE:AKS AMS:APAM ASX:MGX ASX:OST LON:FXPO ,$AKS APAM.AS MGX.AX OST.AX FXPO.L 
MARUICHI STEEL TUBE,5463.T,Japan,Basic Materials,TYO:5463,ASX:NFE ASX:GBG NYSE:AKS ,NFE.AX GBG.AX $AKS 
SANYO SPECIAL STEEL,5481.T,Japan,Basic Materials,TYO:5481,ASX:NFE ASX:GBG NYSE:AKS ,NFE.AX GBG.AX $AKS 
FOSUN INTERNATIONAL,0656.HK,Hong Kong,Basic Materials,HKG:0656,BIT:TEN AMS:MT NSE:JSWISPAT NSE:JINDALSAW NSE:BHUSANSTL HKG:0581 ,TENR.MI ISPA.AS JSWI.NS JIND.NS BSSL.NS 0581.HK 
WELSPUN,WGSR.NS,India,Basic Materials,NSE:WELCORP,BIT:TEN AMS:MT HKG:0656 NSE:JSWISPAT NSE:JINDALSAW ,TENR.MI ISPA.AS 0656.HK JSWI.NS JIND.NS 
TATA STEEL,TISC.NS,India,Basic Materials,NSE:TATASTEEL,NSE:SESAGOA NSE:SAIL TPE:2002 ,SESA.NS SAIL.NS 2002.TW 
APERAM,APAM.AS,Netherlands,Basic Materials,AMS:APAM,ASX:NFE ASX:GBG NYSE:AKS ASX:MGX ASX:BSL AMS:MT ,NFE.AX GBG.AX $AKS MGX.AX BSL.AX ISPA.AS 
STEEL AUTHORITY OF INDIA,SAIL.NS,India,Basic Materials,NSE:SAIL,NSE:JSWSTEEL NSE:SESAGOA TPE:2002 NSE:TATASTEEL ,JSTL.NS SESA.NS 2002.TW TISC.NS 
NIPPON STEEL,5401.T,Japan,Basic Materials,TYO:5401,ASX:NFE ASX:GBG NYSE:AKS ,NFE.AX GBG.AX $AKS 
STEEL DYNAMICS,$STLD,United States,Basic Materials,NASDAQ:STLD,ETR:SZG ASX:SGM TPE:2030 NYSE:X LON:EVR NYSE:AKS ,SZGG.DE SGM.AX 2030.TW $X EVRE.L $AKS 
OSAKA STEEL,5449.OS,Japan,Basic Materials,TYO:5449,ASX:NFE ASX:GBG NYSE:AKS ,NFE.AX GBG.AX $AKS 
MAYER STEEL PIPE,2020.TW,Taiwan,Basic Materials,TPE:2020,NASDAQ:STLD NYSE:X LON:EVR TPE:2031 HKG:0581 ,$STLD $X EVRE.L 2031.TW 0581.HK 
NIPPON YAKIN KOGYO,5480.T,Japan,Basic Materials,TYO:5480,ASX:NFE ASX:GBG NYSE:AKS ,NFE.AX GBG.AX $AKS 
JAI,JAIC.NS,India,Basic Materials,NSE:JAICORPLTD,TPE:2010 NSE:USHAMART TPE:2014 NYSE:NUE ASX:FMG ,2010.TW USBL.NS 2014.TW $NUE FMG.AX 
SIMS METAL MANAGEMENT,SGM.AX,Australia,Basic Materials,ASX:SGM,LON:FXPO TSE:RUS ETR:SZG TPE:2030 NASDAQ:STLD ASX:NFE ASX:GBG ,FXPO.L RUS.TO SZGG.DE 2030.TW $STLD NFE.AX GBG.AX 
FROCH ENTERPRISE,2030.TW,Taiwan,Basic Materials,TPE:2030,ETR:SZG ASX:SGM NASDAQ:STLD NYSE:X LON:EVR TPE:2031 TPE:2010 ,SZGG.DE SGM.AX $STLD $X EVRE.L 2031.TW 2010.TW 
ARCELORMITTAL,ISPA.AS,Netherlands,Basic Materials,AMS:MT,NYSE:NUE ASX:FMG BIT:TEN HKG:0656 NSE:JSWISPAT AMS:APAM ,$NUE FMG.AX TENR.MI 0656.HK JSWI.NS APAM.AS 
AICHI STEEL,5482.T,Japan,Basic Materials,TYO:5482,ASX:NFE ASX:GBG NYSE:AKS ,NFE.AX GBG.AX $AKS 
UNITED STATES STEEL,$X,United States,Basic Materials,NYSE:X,ASX:SGM TPE:2030 NASDAQ:STLD LON:EVR TPE:2031 NYSE:AKS ,SGM.AX 2030.TW $STLD EVRE.L 2031.TW $AKS 
MOUNT GIBSON IRON,MGX.AX,Australia,Basic Materials,ASX:MGX,NYSE:AKS AMS:APAM ASX:BSL ASX:OST LON:FXPO ,$AKS APAM.AS BSL.AX OST.AX FXPO.L 
HITACHI METALS,5486.T,Japan,Basic Materials,TYO:5486,ASX:NFE ASX:GBG NYSE:AKS ,NFE.AX GBG.AX $AKS 
PRAKASH INDUSTRIES,PRKI.NS,India,Basic Materials,NSE:PRAKASH,HKG:0581 NYSE:CLF TPE:2010 NSE:USHAMART NSE:JAICORPLTD ,0581.HK $CLF 2010.TW USBL.NS JAIC.NS 
KOBE STEEL,5406.T,Japan,Basic Materials,TYO:5406,ASX:NFE ASX:GBG NYSE:AKS ,NFE.AX GBG.AX $AKS 
AK STEEL,$AKS,United States,Basic Materials,NYSE:AKS,ASX:NFE ASX:GBG AMS:APAM ASX:MGX NASDAQ:STLD NYSE:X ,NFE.AX GBG.AX APAM.AS MGX.AX $STLD $X 
CLIFFS NATURAL RESOURCES,$CLF,United States,Basic Materials,NYSE:CLF,TPE:2031 HKG:0581 TPE:2010 NSE:USHAMART NSE:JAICORPLTD NYSE:AKS NASDAQ:STLD ,2031.TW 0581.HK 2010.TW USBL.NS JAIC.NS $AKS $STLD 
EVRAZ,EVRE.L,United Kingdom,Basic Materials,LON:EVR,NASDAQ:STLD NYSE:X NYSE:ATI TPE:2031 HKG:0581 LON:FXPO ,$STLD $X $ATI 2031.TW 0581.HK FXPO.L 
SUMITOMO METAL INDUSTRIES,5405.T,Japan,Basic Materials,TYO:5405,ASX:NFE ASX:GBG NYSE:AKS ,NFE.AX GBG.AX $AKS 
USHA MARTIN,USBL.NS,India,Basic Materials,NSE:USHAMART,HKG:0581 NYSE:CLF TPE:2010 NSE:JAICORPLTD TPE:2014 ,0581.HK $CLF 2010.TW JAIC.NS 2014.TW 
TOYOTA TSUSHO,8015.T,Japan,Basic Materials,TYO:8015,ASX:NFE ASX:GBG NYSE:AKS ,NFE.AX GBG.AX $AKS 
JFE ,5411.T,Japan,Basic Materials,TYO:5411,ASX:NFE ASX:GBG NYSE:AKS ,NFE.AX GBG.AX $AKS 
UTTAM GALVA STEELS,UTTM.NS,India,Basic Materials,NSE:UTTAMSTL,NYSE:CLF TPE:2010 NSE:USHAMART NSE:JAICORPLTD TPE:2014 ,$CLF 2010.TW USBL.NS JAIC.NS 2014.TW 
JINDAL STAINLESS,JIST.NS,India,Basic Materials,NSE:JSL,TPE:2014 NYSE:NUE ASX:FMG BIT:TEN AMS:MT ,2014.TW $NUE FMG.AX TENR.MI ISPA.AS 
JINDAL SAW,JIND.NS,India,Basic Materials,NSE:JINDALSAW,AMS:MT HKG:0656 NSE:JSWISPAT NSE:BHUSANSTL NSE:JSWSTEEL ,ISPA.AS 0656.HK JSWI.NS BSSL.NS JSTL.NS 
JINDAL STEEL & POWER,JNSP.NS,India,Basic Materials,NSE:JINDALSTEL,ASX:NFE ASX:GBG NYSE:AKS NSE:USHAMART NSE:JAICORPLTD ,NFE.AX GBG.AX $AKS USBL.NS JAIC.NS 
